Unnamed: 0,Name,Rating,Review
0,anil valavala,1,"noise cancellation feature actually n't work . noise cancellation mic also n't work.and worst customer support amazon , simply say contact manufacturer ( bose ) issues , replacement refund . help anyway ever issue is.most importantly bose n't fix issues directly india . tie company called servify , n't respond well fix issues . issue related noise cancellation , simply told , `` quiet comfort  head phones manufactured quite sometime back need software upgrade software available service centre '' ( please note already upgraded software bose 's website part troubleshooting done along servify call ) . n't understand software available actual users product . explanation bluff customers get away issue.i contacted bose via social media , said talk servify us , ca n't help area . ok sell products india , offer service.this genuine experience faced called international company ."
1,Simbu,1,bought qc headset july  via amazon . stopped getting charged  year  months . unable charge device immediately visited nearby boose service center . confirmed unable charge got faulty board issue . since used fast charger mobile phone . claiming headset suppose charged amps charger . suppose use specifications charging . got faulty . informed get repaired go new headset . amazon specification information . mentioned v . information amps used charger . whoever buying please aware charger used device . else device high likely get faulty . disappointed since product sold high cost without charger head makes make mistake . user informed amps suppose used product page .
2,Amazon Customer,1,"hi team , raised request solve si problem & decided return product & asked csr team initiate return process . ticket raised si problem told able return couple days . order item view level , option initiate return products well.please let us know , initiate return process . product quality bad ..."
3,Channs,1,"bought first bose lot expectations . product quality good , 's quite small size.i noticed immediately audio stuttered randomly . also , saw claimed bose anc quite bad , especially fan noise . app basic features flaky , settings accessed via app.the frustrating issue auto-off refused work despite numerous hours spent . appreciate amazon india sending replacement , exact issues unfortunately . bose india seems outsourced customer support servify highly ineffective unresponsive . bose us twitter support opposite spent many hours via chat resolve auto-off issue . finally , gave good - days . decided use headphones manual on-off button continue figuring issues own.i wish bought sony xm jbl tour one m instead . swayed brand name . buy bose ."
4,Nitesh Patekar ,1,"honest feedback . 've used product ten months . attached two screenshots headphone poor quality product easily seen pics shared . sound quality headphones poor . background noise heard .. fix headset twice , customer service horrible . call time get anything done . considering purchasing product , please go option . headphones , far better one ."
5,Arpit Jhunjhunwala,1,bought months back . first days started facing hardware issues replace . days started facing hardware issues exchanged headset . wo n't turn using sliding switch . reset headphones ( steps mentioned website ) everytime happened happened lot . also sometimes listening sound output automatically stop repair device . sometimes hear lot 'grrgrrr ' noise even phone laptop close headphones.now months completely stopped working . even reset steps wont start . n't know happened hell experience me.thr battery life also bad compared mx good headphones . n't last  days listen casually .
6,Tanishq,1,"sony miles better , ’ buy bose . keeps glitching songs annoying.additionally , customer care centre hyderabad ( one biggest cities country )"
7,Somnath SInha,1,"using qc long time (  years ) really satisfied performance . time thought upgrade qc beleive worst decision made . product came time proper packaging super excited headphone . let tell pros consgood things observed . sound quality fantastic . bose signature sound always great love qc well . build quality great . although 's little heavier okay. . comfortable feeling qc . blutooth connectivity great easy paircons . mic pathetic . literally shout calls ( especially google meet skype microsoft teams ) . noise cancellation upto mark . test extensively moderate noisy zone using phone , laptop ipad . person side could hear lot background noises  devices . qc works much better although 's  years old. . connecting via wire ( understand 's primarily meant ) , hear faint sound even max volume level.overall pathetic buy ."
8,SG,1,"headphones good functioning , within  months , bluetooth function ( switch button ) stopped working . ha e tried contacting service centre multiplayer times emails calls , one responded yet . one month till date , without response . amazon support call services , 've reach directly service centre . responding emails get repaired . headphones within warrenty claim . upset customer service culture , spending huge amount ."
9,Jarnal,1,one one month used headphone maximum one week . st one dead three days . replacement pcs dead week time . since th may headphones service center . nobody clue knowledge replacement/ repairing/ refund .
